planet_key,planet_name,planet_status,discovered,publication,detection_type,mass_detection_type,radius_detection_type,molecules,alternate_names,row_current,current_as_of,row_expired_date
6739,Kepler-90 i,Confirmed,2017.0,Published in a refereed paper,Primary Transit,,Primary Transit,,"KIC 11442793 i, 2MASS J18574403+4918185 i, KOI-351 i, WISE J185744.03+491818.5 i",True,2022-05-01,
6740,Kepler-900 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19444255+4659564 b, K01586.01, KIC 10022908 b, KOI-1586 b, KOI-1586.01, WISE J194442.54+465956.2 b",True,2022-05-01,
6741,Kepler-901 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19243670+4053149 b, K01588.01, KIC 5617854 b, KOI-1588 b, KOI-1588.01, WISE J192436.67+405315.4 b",True,2022-05-01,
6742,Kepler-902 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19185560+4657137 b, K01595.01, KIC 10006581 b, KOI-1595 b, KOI-1595.01, WISE J191855.60+465713.9 b",True,2022-05-01,
6743,Kepler-903 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19150504+4039510 b, K01601.01, KIC 5438757 b, KOI-1601 b, KOI-1601.01, WISE J191505.04+403950.9 b",True,2022-05-01,
6744,Kepler-903 c,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19150504+4039510 c, K01601.02, KIC 5438757 c, KOI-1601 c, KOI-1601.02, WISE J191505.04+403950.9 c",True,2022-05-01,
6745,Kepler-904 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19151750+4023205 b, K01603.01, KIC 5177104 b, KOI-1603 b, KOI-1603.01, WISE J191517.49+402320.4 b",True,2022-05-01,
6746,Kepler-905 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19201226+4642481 b, K01606.01, KIC 9886661 b, KOI-1606 b, KOI-1606.01, WISE J192012.27+464248.2 b",True,2022-05-01,
6747,Kepler-906 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19253733+4007317 b, K01609.01, KIC 5009743 b, KOI-1609 b, KOI-1609.01",True,2022-05-01,
6748,Kepler-907 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19015438+4137578 b, K01613.01, KIC 6268648 b, KOI-1613 b, KOI-1613.01, WISE J190154.36+413757.6 b",True,2022-05-01,
