star_key,star_name,star_detected_disc,star_age,star_metallicity,star_sp_type,star_teff,star_magnetic_field,star_alternate_names,row_current,current_as_of,row_expired_date
3407,Kepler-947,,4.27,-0.07,,5508.0,,"2MASS J19372801+4215096, KIC 6786348, KOI-1749, WISE J193728.02+421509.4",True,2022-05-01,
3408,2MASS J20011977+4459100,,,-0.34,,6432.0,,8780959,True,2022-05-01,
3409,2MASS J19320357+3800446,,,0.07,,5743.0,,2859893,True,2022-05-01,
3410,Kepler-807,,3.72,-0.04,,5965.0,,"2MASS J19160484+4807113, KIC 10790387, KOI-1288, WISE J191604.83+480711.2",True,2022-05-01,
3411,K2-160,,,0.07,,5649.0,,"2MASS J12161309-0333111, EPIC 201227197, WISE J121613.09-033311.1",True,2022-05-01,
3412,TOI-1259A,,,-0.5,,4775.0,,None,True,2022-05-01,
3413,2MASS J19225643+4405287,,,-0.14,,6032.0,,8162789,True,2022-05-01,
3414,Kepler-1521,,4.47,-0.05,,5042.0,,"2MASS J19304566+3750059, KIC 2581554, KOI-3835, WISE J193045.67+375006.0",True,2022-05-01,
3415,K2-74,,,,,6060.0,,"2MASS J22394063-0842521, EPIC 206268299, WISE J223940.63-084252.3",True,2022-05-01,
3416,2MASS J19561943+4201053,,,-0.22,,5376.0,,6636320,True,2022-05-01,
3417,K2-63,,,,,6771.0,,"2MASS J22134239-1203587, EPIC 206101302, WISE J221342.41-120358.8",True,2022-05-01,
3418,2MASS J19343114+4544263,,,-0.06,,5880.0,,9285265,True,2022-05-01,
3419,2MASS J19263786+4800335,,,-0.06,,5477.0,,10730703,True,2022-05-01,
3420,2MASS J19215835+3947078,,,0.07,,6616.0,,4650733,True,2022-05-01,
3421,2MASS J19221601+4026596,,,-0.3,,5275.0,,5271090,True,2022-05-01,
3422,HIP 48714,,,,M0.5V,,,None,True,2022-05-01,
3423,K2-180,,9.5,-0.54,K2V,5358.0,,"2MASS J08255135+1014491, EPIC 211319617, WISE J082551.41+101448.1",True,2022-05-01,
3424,TOI-1246,,,,,,,None,True,2022-05-01,
3425,2MASS J19252613+4356124,,,-0.24,,5941.0,,8096395,True,2022-05-01,
