id,title,status,rating,score,favorites,load_date,airing,aired_from,aired_to
38902,Prison Lab,Finished Airing,R - 17+ (violence & profanity),5.17,6,2022-03-11,False,2018-12-28,
38903,Moonrise,Not yet aired,None,,1,2022-03-11,False,,
38905,Xmas Song,Finished Airing,G - All Ages,5.42,1,2022-03-11,False,2016-12-09,
39206,Ohanashi no Hana,Finished Airing,G - All Ages,,2,2022-03-11,False,2006-10-01,
38906,Alice in Voodooland,Finished Airing,R - 17+ (violence & profanity),5.64,1,2022-03-11,False,2016-10-05,
38907,Yasashii Akuma,Finished Airing,G - All Ages,5.83,0,2022-03-11,False,2018-12-26,
38909,Infinite Dendrogram,Finished Airing,PG-13 - Teens 13 or older,6.17,231,2022-03-11,False,2020-01-09,2020-04-16
38910,Monkey Gang Anarchy,Not yet aired,None,,9,2022-03-11,False,,
38911,Zhi Duoduo Qihuan Xingkong Zhi Lu,Finished Airing,PG - Children,,0,2022-03-11,False,2014-04-22,
38913,Hyper Sweet Power,Finished Airing,G - All Ages,5.38,0,2022-03-11,False,2008-12-10,
38914,Papa no March,Finished Airing,G - All Ages,,0,2022-03-11,False,2004-07-01,
38915,Kyochuu Rettou,Finished Airing,R+ - Mild Nudity,4.4,15,2022-03-11,False,2019-06-20,
38916,Battle Spirits: Saga Brave,Finished Airing,PG - Children,6.74,1,2022-03-11,False,2019-06-14,2020-01-24
38917,Tong Ling Fei,Finished Airing,PG-13 - Teens 13 or older,7.68,435,2022-03-11,False,2018-11-30,2019-04-19
38918,Shaonian Ge Xing,Finished Airing,PG-13 - Teens 13 or older,6.97,18,2022-03-11,False,2018-12-26,2019-06-05
38919,Shan He She Ji Tu,Finished Airing,PG-13 - Teens 13 or older,,1,2022-03-11,False,2018-10-25,2019-03-14
38920,Kochouki: Wakaki Nobunaga,Finished Airing,PG-13 - Teens 13 or older,6.52,53,2022-03-11,False,2019-07-08,2019-09-23
38921,Tsurune: Kazemai Koukou Kyuudoubu - Yabai,Finished Airing,PG-13 - Teens 13 or older,7.22,20,2022-03-11,False,2019-03-03,
38922,Kimi ga Mita Sora wa,Finished Airing,G - All Ages,5.66,0,2022-03-11,False,2018-12-27,
38923,Sinbi Apateu: Ghost Ball Bimil,Finished Airing,G - All Ages,6.6,12,2022-03-11,False,2016-07-20,2017-01-18
38924,Nekopara,Finished Airing,PG-13 - Teens 13 or older,6.75,716,2022-03-11,False,2020-01-09,2020-03-26
38925,Kao Haru CMs,Currently Airing,G - All Ages,,0,2022-03-11,True,2018-12-28,
38926,Koeda-chan,Currently Airing,G - All Ages,,0,2022-03-11,True,2018-11-16,2019-01-01
38927,Koeda-chan Ohanashi,Currently Airing,G - All Ages,,0,2022-03-11,True,2014-07-28,
38928,Koeda-chan CMs,Currently Airing,G - All Ages,,0,2022-03-11,True,2014-07-28,
38931,Green Co-Op CMs,Finished Airing,G - All Ages,,0,2022-03-11,False,2017-12-15,2019-04-01
38932,Oyako wa Tsudzuku yo,Finished Airing,G - All Ages,,0,2022-03-11,False,2017-01-01,
38933,Hirooka Asako,Finished Airing,G - All Ages,,0,2022-03-11,False,2015-10-03,2015-12-01
38934,Change Our Mirai!: Our 7 Lights,Finished Airing,G - All Ages,5.59,1,2022-03-11,False,2018-09-14,
38935,Miru Tights,Finished Airing,PG-13 - Teens 13 or older,6.51,507,2022-03-11,False,2019-05-11,2019-07-27
38936,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi,Finished Airing,PG-13 - Teens 13 or older,7.11,37,2022-03-11,False,2018-12-31,
38937,Persona 5 the Animation Recap,Finished Airing,R - 17+ (violence & profanity),6.29,4,2022-03-11,False,2018-12-30,
38938,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama,Finished Airing,PG-13 - Teens 13 or older,7.51,285,2022-03-11,False,2018-12-19,2019-05-15
38939,Kakegurui Picture Drama,Finished Airing,R - 17+ (violence & profanity),6.68,37,2022-03-11,False,2017-10-13,2018-02-09
38940,Cop Craft,Finished Airing,R - 17+ (violence & profanity),6.72,193,2022-03-11,False,2019-07-09,2019-10-01
38954,"Okoshiyasu, Chitose-chan Recaps",Finished Airing,G - All Ages,5.72,0,2022-03-11,False,2018-12-19,2019-02-15
38955,Humane,Finished Airing,G - All Ages,4.9,0,2022-03-11,False,2018-10-21,
38957,Shake-chan,Finished Airing,PG-13 - Teens 13 or older,5.99,4,2022-03-11,False,2012-03-09,
38958,Manga de Wakaru! Fate/Grand Order,Finished Airing,PG-13 - Teens 13 or older,7.69,38,2022-03-11,False,2018-12-31,
38959,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,Finished Airing,R - 17+ (violence & profanity),7.37,358,2022-03-11,False,2019-07-07,2019-09-29
38960,Roto Spread,Finished Airing,G - All Ages,5.6,0,2022-03-11,False,2016-06-22,
38961,Takoyaki Story,Finished Airing,R+ - Mild Nudity,4.79,0,2022-03-11,False,2018-10-10,
38963,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,Finished Airing,PG-13 - Teens 13 or older,7.12,26,2022-03-11,False,2012-02-22,
38964,Timeless,Finished Airing,G - All Ages,6.03,0,2022-03-11,False,2018-11-14,
38968,Love in Ruins feat. Sinéad Harnett,Finished Airing,PG - Children,,0,2022-03-11,False,2017-08-03,
38969,Shake,Finished Airing,G - All Ages,,0,2022-03-11,False,2011-07-20,
38970,Land,Finished Airing,G - All Ages,5.68,1,2022-03-11,False,2013-10-09,
38971,Nekomonogatari: Kuro Recap,Finished Airing,R - 17+ (violence & profanity),6.87,10,2022-03-11,False,2013-03-06,
38972,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps,Finished Airing,R - 17+ (violence & profanity),6.89,368,2022-03-11,False,2019-01-05,2019-05-04
38974,Bouen no March,Finished Airing,G - All Ages,5.86,0,2022-03-11,False,2018-09-23,
38976,Uneasiness and Triangle,Finished Airing,G - All Ages,5.45,0,2022-03-11,False,2011-07-08,
38977,On the Table,Finished Airing,G - All Ages,5.47,0,2022-03-11,False,2011-07-09,
38980,I Like It,Finished Airing,PG-13 - Teens 13 or older,3.17,2,2022-03-11,False,2018-11-26,
38981,"Mini Toji: Kanami-Mihono no ""Toji Miko Taidou-hen"" 205-byou de Shoukai Tokuban!",Finished Airing,G - All Ages,5.45,3,2022-03-11,False,2019-01-06,
38982,Mobile Suit Gundam: Iron-Blooded Orphans - Urðr Hunt,Not yet aired,R - 17+ (violence & profanity),,28,2022-03-11,False,2022-01-01,
